Port,Total Tonnage (Million Tons)
"South Louisiana, LA",212.7
"Houston, TX",211.7
"New York, NY and NJ",152.1
"Huntington, WV, KY, and OH",83.9
"Long Beach, CA",79.9
"Beaumont, TX",78.9
"Corpus Christi, TX",77.6
"New Orleans, LA",65.9
"Baton Rouge, LA",59.3
"Texas City, TX",57.8
"Mobile, AL",57.7
"Los Angeles, CA",54.9
"Lake Charles, LA",52.7
"Tampa, FL",49.2
"Plaquemines, LA",47.9
Duluth-Superior MN and WI,44.7
"Valdez, AK",44.4
"Baltimore, MD",44.1
"Pittsburgh, PA",43.6
"Philadelphia, PA",39.4
